epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1535.5,0.91199,1.95434,0.26793,0.51868,1.08065,0.95199,0.95455,0.9655,0.73006,0.92926,0.93182,0.93415,0.64992,0.95281,1.56244,0.15049,0.47161,1.22346,0.0012476,0.0012476,0.0012476
59,1561.98,0.86643,1.87,0.27596,0.49874,1.07496,0.95208,0.95455,0.95984,0.75544,0.92941,0.93182,0.92468,0.63672,0.95173,1.65792,0.16639,0.44875,1.20311,0.0012344,0.0012344,0.0012344
60,1588.49,0.88377,1.85761,0.27357,0.50118,1.07355,0.95327,0.95455,0.94657,0.71832,0.88486,0.88636,0.85737,0.59478,0.97647,1.87177,0.14989,0.46863,1.27278,0.0012212,0.0012212,0.0012212
61,1614.95,0.86707,1.84284,0.27016,0.48291,1.06393,0.95084,0.95455,0.94259,0.71651,0.92809,0.93182,0.90563,0.58111,0.93054,1.75365,0.14665,0.45809,1.17652,0.001208,0.001208,0.001208
62,1641.79,0.85247,1.76036,0.26952,0.49091,1.0587,0.95319,0.95455,0.95777,0.72809,0.93046,0.93182,0.92766,0.63409,0.9831,1.55399,0.14367,0.4515,1.22892,0.0011948,0.0011948,0.0011948
63,1668.3,0.822,1.79031,0.25662,0.46786,1.04672,0.95325,0.95455,0.96219,0.74849,0.90775,0.90909,0.9032,0.65891,0.93002,1.68877,0.15453,0.45486,1.18508,0.0011816,0.0011816,0.0011816
64,1694.92,0.81389,1.78728,0.2556,0.46067,1.03365,0.95278,0.95455,0.9712,0.75897,0.93005,0.93182,0.94268,0.65226,0.91755,1.64976,0.1589,0.45446,1.21038,0.0011684,0.0011684,0.0011684
65,1721.89,0.83807,1.75709,0.25444,0.48085,1.04328,0.9531,0.95455,0.9705,0.72632,0.93041,0.93182,0.94463,0.65799,1.03333,1.63651,0.15353,0.46758,1.31026,0.0011552,0.0011552,0.0011552
66,1749.22,0.85635,1.70705,0.25312,0.48305,1.04602,0.95321,0.95455,0.94993,0.71184,0.93048,0.93182,0.9177,0.63189,0.98449,1.61963,0.14847,0.46512,1.25494,0.001142,0.001142,0.001142
67,1775.74,0.82019,1.69852,0.26216,0.46897,1.04241,0.93213,0.95455,0.9634,0.72217,0.90985,0.93182,0.93386,0.64717,1.01013,1.5819,0.14868,0.44819,1.3119,0.0011288,0.0011288,0.0011288
68,1802.46,0.80181,1.71764,0.26024,0.45328,1.03963,0.95427,0.94869,0.96834,0.74787,0.93147,0.92685,0.95205,0.70154,1.0178,1.53944,0.14498,0.44559,1.32181,0.0011156,0.0011156,0.0011156
69,1829.68,0.80956,1.73296,0.26058,0.47117,1.0302,0.94729,0.95455,0.96255,0.71976,0.94008,0.93182,0.94707,0.66966,1.06541,1.6247,0.1561,0.50795,1.35052,0.0011024,0.0011024,0.0011024
70,1856.28,0.78723,1.68011,0.2518,0.45809,1.02739,0.95193,0.95455,0.94509,0.69186,0.9061,0.90909,0.87621,0.60201,1.0206,1.59988,0.14818,0.45331,1.28183,0.0010892,0.0010892,0.0010892
71,1882.79,0.81402,1.82164,0.24259,0.47274,1.0328,0.93199,0.95455,0.96717,0.71578,0.88758,0.90909,0.91435,0.65315,1.01845,1.57709,0.15926,0.46908,1.27772,0.001076,0.001076,0.001076
72,1909.34,0.82968,1.67598,0.25709,0.4739,1.04374,0.95372,0.95455,0.9671,0.71381,0.93097,0.93182,0.93318,0.63743,0.99384,1.61853,0.1505,0.4487,1.27457,0.0010628,0.0010628,0.0010628
73,1935.82,0.76708,1.57951,0.25654,0.4327,1.02297,0.95315,0.95455,0.96734,0.74551,0.90773,0.90909,0.90203,0.65103,0.99704,1.55014,0.14904,0.45158,1.28106,0.0010496,0.0010496,0.0010496
74,1962.43,0.78155,1.59666,0.25575,0.44065,1.03767,0.96146,0.95455,0.96124,0.73403,0.93857,0.93182,0.93658,0.64945,0.97047,1.53891,0.14771,0.43698,1.28607,0.0010364,0.0010364,0.0010364
75,1989.15,0.76448,1.66853,0.246,0.4418,1.01234,0.93171,0.95455,0.94616,0.72512,0.90929,0.93182,0.9252,0.64362,0.9784,1.61098,0.18178,0.45687,1.25547,0.0010232,0.0010232,0.0010232
76,2016,0.78965,1.59777,0.25099,0.45628,1.02827,0.95168,0.95455,0.96226,0.73904,0.92902,0.93182,0.93739,0.65586,0.98692,1.59784,0.13993,0.42788,1.27367,0.00101,0.00101,0.00101
77,2042.48,0.76257,1.71088,0.25433,0.44634,1.00564,0.95315,0.95455,0.95249,0.73593,0.93046,0.93182,0.92067,0.63086,0.93886,1.47723,0.13923,0.41433,1.22244,0.0009968,0.0009968,0.0009968
78,2068.99,0.76375,1.67094,0.2333,0.44659,1.02658,0.93193,0.95455,0.96048,0.73846,0.90974,0.93182,0.92188,0.62033,0.9658,1.67696,0.14918,0.44313,1.2392,0.0009836,0.0009836,0.0009836
79,2095.59,0.75843,1.61987,0.23322,0.45145,1.01667,0.95305,0.95455,0.96386,0.72775,0.93036,0.93182,0.93156,0.64197,0.97052,1.65551,0.14745,0.4378,1.24739,0.0009704,0.0009704,0.0009704
80,2122.06,0.76004,1.60813,0.25335,0.4483,1.01166,0.95312,0.95455,0.96199,0.72144,0.9304,0.93182,0.92838,0.61816,0.98661,1.60074,0.15024,0.4466,1.25613,0.0009572,0.0009572,0.0009572
81,2149.08,0.77365,1.60181,0.22538,0.45204,1.0226,0.95324,0.95455,0.95846,0.71961,0.93054,0.93182,0.93129,0.65219,0.98954,1.5928,0.15234,0.44618,1.29202,0.000944,0.000944,0.000944
82,2175.68,0.75009,1.64218,0.2574,0.43307,0.99688,0.9531,0.95455,0.95741,0.73361,0.93041,0.93182,0.92314,0.65752,0.99076,1.57101,0.14261,0.43188,1.32299,0.0009308,0.0009308,0.0009308
83,2202.33,0.71559,1.45191,0.22856,0.408,0.98782,0.95322,0.95455,0.9451,0.72797,0.93053,0.93182,0.91273,0.66546,0.94159,1.56589,0.14845,0.45651,1.24033,0.0009176,0.0009176,0.0009176
